Sample_Id,Gene,Rule_Id,Final_interpretation,IsPassedRule
BRA036,IMP,,,
BRA036,KPC,,,
BRA036,NDM,,,
BRA036,OXA-10,,,
BRA036,OXA-30,,,
BRA036,OXA-48,,,
BRA036,SHV,,,
BRA036,TEM,157,blaTEM-1-like,1
BRA036,VEB,,,
BRA036,VIM,,,
BRA036,aac(3)-II,7,aac(3)-IId,1
BRA036,aacA27,,,
BRA036,aacA4,,,
BRA036,aadB,,,
BRA036,armA,,,
BRA036,blaACT/blaMIR,,,
BRA036,blaCMY-2-like,,,
BRA036,blaCTX-M,,,
BRA036,fosA3,,,
BRA036,rmtB,,,
BRA036,rmtC,,,
BRA036,rmtF,,,
BRA037,DHA,,,
BRA037,GES,,,
BRA037,IMP,,,
BRA037,KPC,,,
BRA037,NDM,,,
BRA037,OXA-10,,,
BRA037,OXA-30,,,
BRA037,OXA-48,,,
BRA037,SHV,,,
BRA037,TEM,157,blaTEM-1-like,1
BRA037,VEB,,,
BRA037,VIM,,,
BRA037,aac(3)-II,,,
BRA037,aacA27,,,
BRA037,aacA4,,,
BRA037,aadB,,,
BRA037,armA,,,
BRA037,blaACT/blaMIR,,,
BRA037,blaCMY-2-like,57,blaCMY-2-like,1
BRA037,blaCTX-M,,,
BRA037,fosA3,,,
BRA037,rmtB,,,
BRA037,rmtC,,,
BRA037,rmtF,,,
BRA038,DHA,,,
BRA038,GES,,,
BRA038,IMP,,,
BRA038,KPC,,,
BRA038,NDM,,,
BRA038,OXA-10,,,
BRA038,OXA-30,,,
BRA038,OXA-48,,,
BRA038,SHV,,,
BRA038,TEM,,,
BRA038,VEB,,,
BRA038,VIM,,,
BRA038,aac(3)-II,,,
BRA038,aacA27,,,
BRA038,aacA4,,,
BRA038,aadB,,,
BRA038,armA,,,
BRA038,blaACT/blaMIR,,,
BRA038,blaCMY-2-like,,,
BRA038,blaCTX-M,64,G8,1
BRA038,fosA3,,,
BRA038,rmtB,,,
BRA038,rmtC,,,
BRA038,rmtF,,,
BRA039,DHA,,,
BRA039,GES,,,
BRA039,IMP,,,
BRA039,KPC,,,
BRA039,NDM,,,
BRA039,OXA-10,,,
BRA039,OXA-30,,,
BRA039,OXA-48,,,
BRA039,SHV,,,
BRA039,TEM,,,
BRA039,VEB,,,
BRA039,VIM,,,
BRA039,aac(3)-II,,,
BRA039,aacA27,,,
BRA039,aacA4,,,
BRA039,aadB,,,
BRA039,armA,,,
BRA039,blaACT/blaMIR,,,
BRA039,blaCMY-2-like,,,
BRA039,blaCTX-M,70,G9-240D,1
BRA039,fosA3,,,
BRA039,rmtB,,,
BRA039,rmtC,,,
BRA039,rmtF,,,
BRA040,DHA,,,
BRA040,GES,,,
BRA040,IMP,,,
BRA040,KPC,,,
BRA040,NDM,,,
BRA040,OXA-10,,,
BRA040,OXA-30,,,
BRA040,OXA-48,,,
BRA040,SHV,,,
BRA040,TEM,157,blaTEM-1-like,1
BRA040,VEB,,,
BRA040,VIM,,,
BRA040,aac(3)-II,,,
BRA040,aacA27,,,
BRA040,aacA4,,,
BRA040,aadB,,,
BRA040,armA,,,
BRA040,blaACT/blaMIR,,,
BRA040,blaCMY-2-like,,,
BRA040,blaCTX-M,64,G8,1
BRA040,fosA3,,,
BRA040,rmtB,,,
BRA040,rmtC,,,
BRA040,rmtF,,,
BRA041,DHA,,,
BRA041,GES,,,
BRA041,IMP,,,
BRA041,KPC,,,
BRA041,NDM,,,
BRA041,OXA-10,,,
BRA041,OXA-30,117,blaOXA-30-like,1
BRA041,OXA-48,,,
BRA041,SHV,,,
BRA041,TEM,,,
BRA041,VEB,,,
BRA041,VIM,,,
BRA041,aac(3)-II,16,aac(3)-IIe,1
BRA041,aacA27,,,
BRA041,aacA4,,,
BRA041,aadB,,,
BRA041,armA,,,
BRA041,blaACT/blaMIR,,,
BRA041,blaCMY-2-like,,,
BRA041,blaCTX-M,80,G1-240G,1
BRA041,fosA3,,,
BRA041,rmtB,,,
